customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
12643.0,18,128,3041.6399999999994,3,3,1,331
12644.0,31,129,477.9100000000001,3,3,3,333
12645.0,69,33,1631.1799999999998,2,2,2,222
12646.0,45,4,1346.9699999999998,1,2,2,122
12647.0,110,22,3146.82,2,1,1,211
12648.0,20,154,300.05,4,3,4,434
12649.0,29,107,569.5100000000001,3,3,3,333
12650.0,19,3,242.44000000000003,1,3,4,134
12651.0,9,334,114.0,4,4,4,444
12652.0,47,331,793.9799999999999,4,2,2,422
12653.0,43,148,2209.8499999999995,4,2,1,421
12654.0,34,10,529.98,1,3,3,133
12656.0,121,17,3619.17,1,1,1,111
12657.0,44,11,1427.1800000000003,1,2,2,122
12658.0,35,18,632.05,2,3,3,233
12659.0,4,29,73.68,2,4,4,244
12660.0,12,11,227.10000000000005,1,4,4,144
12662.0,220,0,3543.7800000000007,1,1,1,111
12664.0,28,8,4391.880000000001,1,3,1,131
12665.0,2,324,45.0,4,4,4,444
12667.0,32,58,460.13,3,3,3,333
12668.0,157,11,3177.1500000000005,1,1,1,111
12669.0,98,150,1427.7300000000002,4,2,2,422
12670.0,87,10,2744.05,1,2,1,121
12672.0,10,329,225.89999999999998,4,4,4,444
12673.0,41,5,574.52,1,3,3,133
12674.0,79,38,1844.6,2,2,1,221
12676.0,39,24,1091.39,2,3,2,232
12678.0,157,42,16481.46,2,1,1,211
12679.0,44,58,951.0200000000002,3,2,2,322
12680.0,49,0,790.81,1,2,2,122
12681.0,616,14,12365.54,1,1,1,111
12682.0,495,3,11019.82,1,1,1,111
12683.0,331,4,7612.57,1,1,1,111
12684.0,98,7,2073.63,1,2,1,121
12685.0,151,28,2575.08,2,1,1,211
12686.0,6,371,71.14,4,4,4,444
12688.0,171,113,4873.8099999999995,3,1,1,311
12689.0,70,25,1139.61,2,2,2,222
12690.0,15,205,335.01,4,4,3,443
12691.0,27,28,927.7999999999997,2,3,2,232
12693.0,35,127,711.91,3,3,2,332
12694.0,35,70,761.6700000000001,3,3,2,332
12695.0,27,7,582.1,1,3,3,133
12697.0,38,28,757.59,2,3,2,232
12700.0,264,7,4525.99,1,1,1,111
12701.0,51,79,725.71,3,2,2,322
12702.0,11,19,201.0,2,4,4,244
12703.0,20,71,265.55,3,3,4,334
12704.0,81,7,1740.8400000000001,1,2,1,121
12705.0,328,15,6382.290000000001,1,1,1,111
12707.0,33,291,603.42,4,3,3,433
12708.0,147,29,2442.91,2,1,1,211
12709.0,202,15,9400.52,1,1,1,111
12710.0,74,96,1023.0199999999999,3,2,2,322
12712.0,120,28,3928.1300000000006,2,1,1,211
12713.0,37,0,794.55,1,3,2,132
12714.0,254,9,4294.86,1,1,1,111
12715.0,19,106,263.36,3,3,4,334
12716.0,67,3,963.49,1,2,2,122
12717.0,53,151,830.98,4,2,2,422
12718.0,18,71,202.25,3,3,4,334
12719.0,37,5,572.9500000000002,1,3,3,133
12720.0,342,2,5115.73,1,1,1,111
12721.0,155,31,2386.13,2,1,1,211
12722.0,52,85,979.63,3,2,2,322
12723.0,68,3,707.07,1,2,2,122
12724.0,49,5,923.41,1,2,2,122
12725.0,23,371,371.79999999999995,4,3,3,433
12726.0,117,28,2411.1000000000004,2,1,1,211
12727.0,132,10,3440.7000000000007,1,1,1,111
12728.0,42,71,728.33,3,2,2,322
12729.0,25,113,417.01,3,3,3,333
12731.0,273,23,18751.91,2,1,1,211
12732.0,11,179,218.26000000000005,4,4,4,444
12733.0,22,234,383.94999999999993,4,3,3,433
12734.0,4,352,110.4,4,4,4,444
12735.0,41,315,689.5700000000002,4,3,2,432
12736.0,3,332,144.0,4,4,4,444
12738.0,10,372,137.35,4,4,4,444
12739.0,37,99,975.5399999999996,3,3,2,332
12740.0,27,63,427.6,3,3,3,333
12743.0,131,134,540.13,3,1,3,313
12744.0,215,56,9120.39,3,1,1,311
12747.0,103,2,4196.009999999999,1,1,1,111
12748.0,4397,0,31650.78,1,1,1,111
12749.0,199,3,4090.88,1,1,1,111
12750.0,15,128,275.88,3,4,4,344
12752.0,53,81,4366.779999999999,3,2,1,321
12753.0,197,22,21429.389999999996,2,1,1,211
12754.0,63,235,3010.7400000000002,4,2,1,421
12755.0,4,280,3811.95,4,4,1,441
12756.0,4,86,112.08000000000001,3,4,4,344
12757.0,358,15,4176.75,1,1,1,111
12758.0,97,116,2791.5900000000006,3,2,1,321
12759.0,92,52,1411.44,3,2,2,322
12762.0,67,7,1702.52,1,2,1,121
12763.0,18,138,494.08000000000004,3,3,3,333
12764.0,45,316,1693.88,4,2,1,421
12766.0,306,3,6457.630000000001,1,1,1,111
12769.0,32,238,1143.6000000000001,4,3,2,432
12770.0,12,210,1351.45,4,4,2,442
12772.0,54,59,752.47,3,2,2,322
12775.0,61,17,1281.0400000000004,1,2,2,122
12778.0,44,19,693.23,2,2,2,222
12779.0,149,37,3981.3599999999997,2,1,1,211
12781.0,24,63,786.74,3,3,2,332
12782.0,98,4,1938.9200000000003,1,2,1,121
12783.0,78,2,1295.8700000000001,1,2,2,122
12784.0,56,15,476.82000000000005,1,2,3,123
12785.0,13,364,255.95000000000002,4,4,4,444
12787.0,17,9,418.66,1,4,3,143
12789.0,3,65,76.85000000000001,3,4,4,344
12790.0,20,192,294.91999999999996,4,3,4,434
12791.0,1,373,177.60000000000005,4,4,4,444
12792.0,24,256,344.53999999999996,4,3,3,433
12793.0,22,334,461.48,4,3,3,433
12794.0,45,53,860.41,3,2,2,322
12795.0,13,18,318.48,2,4,3,243
12797.0,12,365,226.02999999999997,4,4,4,444
12798.0,8,10,6977.04,1,4,1,141
12802.0,24,186,397.58000000000004,4,3,3,433
12808.0,27,36,455.65000000000003,2,3,3,233
12809.0,24,177,405.31000000000006,4,3,3,433
12811.0,28,261,458.84999999999997,4,3,3,433
12812.0,15,44,229.64000000000001,2,4,4,244
12814.0,1,101,85.92,3,4,4,344
12815.0,45,147,863.46,4,2,2,422
12816.0,27,95,452.20000000000005,3,3,3,333
12817.0,3,281,126.04000000000002,4,4,4,444
12818.0,13,261,1182.0800000000002,4,4,2,442
12820.0,59,3,942.3399999999999,1,2,2,122
12821.0,6,214,92.72,4,4,4,444
12822.0,46,70,948.88,3,2,2,322
12823.0,5,74,1759.5,3,4,1,341
12824.0,25,59,397.12,3,3,3,333
12826.0,91,2,1474.7200000000003,1,2,2,122
12827.0,25,5,430.15000000000003,1,3,3,133
12828.0,56,2,1018.71,1,2,2,122
12829.0,11,336,293.0,4,4,4,444
12830.0,38,37,6814.640000000002,2,3,1,231
12831.0,9,262,215.05,4,4,4,444
12832.0,27,32,383.03,2,3,3,233
12833.0,24,145,417.38000000000005,4,3,3,433
12834.0,18,282,312.38,4,3,3,433
12836.0,174,59,2610.3600000000006,3,1,1,311
12837.0,12,173,134.1,4,4,4,444
12838.0,120,33,671.95,2,1,2,212
12839.0,314,2,5591.42,1,1,1,111
12840.0,113,143,2726.7700000000004,4,1,1,411
12841.0,414,4,3991.5800000000004,1,1,1,111
12842.0,34,70,1118.99,3,3,2,332
12843.0,103,65,1702.2600000000002,3,1,1,311
12844.0,52,29,325.96000000000004,2,2,3,223
12845.0,27,267,354.09000000000003,4,3,3,433
12847.0,84,22,843.6400000000001,2,2,2,222
12849.0,46,31,992.6500000000002,2,2,2,222
12851.0,47,96,131.81,3,2,4,324
12852.0,17,294,311.55,4,4,3,443
12853.0,78,134,1957.1000000000008,3,2,1,321
12854.0,109,78,1316.2500000000002,3,1,2,312
12855.0,3,372,38.10000000000001,4,4,4,444
12856.0,311,7,2170.7799999999997,1,1,1,111
12857.0,46,210,1106.3999999999999,4,2,2,422
12863.0,5,52,521.2,3,4,3,343
12864.0,3,138,147.11999999999998,3,4,4,344
12865.0,95,26,1568.2300000000002,2,2,2,222
12866.0,25,283,499.11999999999995,4,3,3,433
12867.0,534,26,4009.34,2,1,1,211
12868.0,107,185,1607.0600000000004,4,1,2,412
12871.0,11,84,380.64000000000004,3,4,3,343
12872.0,66,326,599.97,4,2,3,423
12873.0,4,282,374.0,4,4,3,443
12875.0,2,143,343.23000000000013,4,4,3,443
12876.0,83,57,2053.02,3,2,1,321
12877.0,154,3,1535.77,1,1,2,112
12878.0,47,236,854.99,4,2,2,422
12879.0,10,44,573.22,2,4,3,243
12881.0,7,275,298.0,4,4,4,444
12882.0,13,9,1463.04,1,4,2,142
12883.0,42,24,703.4700000000001,2,2,2,222
12884.0,7,88,309.05,3,4,3,343
12885.0,71,63,1175.2200000000003,3,2,2,322
12886.0,82,67,1378.4000000000003,3,2,2,322
12888.0,5,214,354.12,4,4,3,443
12890.0,79,24,376.7199999999999,2,2,3,223
12891.0,3,185,331.0,4,4,3,443
12893.0,31,30,176.54999999999998,2,3,4,234
12895.0,22,42,372.8,2,3,3,233
12897.0,4,204,216.50000000000003,4,4,4,444
12901.0,116,8,17654.539999999997,1,1,1,111
12902.0,10,264,138.68,4,4,4,444
12904.0,71,18,496.06,2,2,3,223
12906.0,63,11,2919.8100000000004,1,2,1,121
12908.0,2,176,750.0,4,4,2,442
12909.0,91,39,2178.67,2,2,1,221
12910.0,75,23,3075.04,2,2,1,221
12912.0,24,2,1662.3000000000002,1,3,1,131
12913.0,50,4,2483.63,1,2,1,121
12915.0,22,148,363.6499999999999,4,3,3,433
12916.0,103,138,2944.9500000000003,3,1,1,311
12917.0,2,128,594.0,3,4,3,343
12919.0,50,8,1335.1900000000003,1,2,2,122
12920.0,27,17,162.77999999999997,1,3,4,134
12921.0,720,9,16587.090000000004,1,1,1,111
12922.0,28,161,405.3800000000001,4,3,3,433
12923.0,27,64,171.57,3,3,4,334
12924.0,29,88,925.7500000000002,3,3,2,332
12925.0,45,4,694.05,1,2,2,122
12928.0,84,35,2062.7000000000003,2,2,1,221
12929.0,8,311,117.85,4,4,4,444
12930.0,25,78,415.8,3,3,3,333
12931.0,82,21,42055.96000000001,2,2,1,221
12933.0,106,24,607.53,2,1,3,213
12935.0,129,2,2160.7,1,1,1,111
12936.0,62,17,1063.8999999999999,1,2,2,122
12937.0,120,15,1504.2700000000002,1,1,2,112
12938.0,9,25,114.13999999999999,2,4,4,244
12939.0,47,64,11581.8,3,2,1,321
12940.0,96,54,899.69,3,2,2,322
12942.0,70,131,675.6000000000001,3,2,2,322
12944.0,30,35,604.51,2,3,3,233
12945.0,23,288,462.94999999999993,4,3,3,433
12947.0,97,143,1603.99,4,2,2,422
12948.0,116,16,2064.9500000000003,1,1,1,111
12949.0,215,30,4167.22,2,1,1,211
12950.0,23,2,1842.9999999999998,1,3,1,131
12951.0,63,8,1064.0700000000002,1,2,2,122
12952.0,79,5,1387.7900000000002,1,2,2,122
12953.0,17,9,329.85,1,4,3,143
12955.0,180,1,4757.160000000001,1,1,1,111
12956.0,19,306,108.07,4,3,4,434
12957.0,238,9,4017.54,1,1,1,111
12962.0,16,7,266.39,1,4,4,144
12963.0,95,8,1856.63,1,2,1,121
12965.0,108,89,769.81,3,1,2,312
12966.0,10,9,160.18,1,4,4,144
12967.0,19,358,1660.9,4,3,1,431
12968.0,5,112,135.95,3,4,4,344
12970.0,129,7,405.47,1,1,3,113
12971.0,305,3,11189.91,1,1,1,111
12974.0,8,197,144.8,4,4,4,444
12976.0,22,211,738.6,4,3,2,432
12977.0,9,156,39.24,4,4,4,444
12980.0,20,157,7374.900000000001,4,3,1,431
12981.0,20,29,372.21999999999997,2,3,3,233
12982.0,28,242,390.54,4,3,3,433
12984.0,4,18,97.5,2,4,4,244
12985.0,76,0,1239.3800000000003,1,2,2,122
12987.0,28,73,558.6999999999999,3,3,3,333
12988.0,83,292,505.82000000000005,4,2,3,423
12989.0,64,3,6924.110000000001,1,2,1,121
12990.0,13,31,409.50000000000006,2,4,3,243
12991.0,31,23,503.7600000000001,2,3,3,233
12993.0,27,23,414.76000000000005,2,3,3,233
12994.0,61,4,974.42,1,2,2,122
12995.0,3,85,211.32,3,4,4,344
12997.0,59,22,1226.89,2,2,2,222
12999.0,28,196,455.88000000000005,4,3,3,433
13000.0,31,106,534.8500000000001,3,3,3,333
13001.0,337,4,9785.97,1,1,1,111
13002.0,7,318,120.95,4,4,4,444
13003.0,6,105,149.05,3,4,4,344
13004.0,404,11,5655.91,1,1,1,111
13005.0,26,173,513.7,4,3,3,433
13006.0,4,56,81.57,3,4,4,344
13008.0,14,323,229.47000000000003,4,4,4,444
13011.0,3,372,50.550000000000004,4,4,4,444
13012.0,88,9,1646.8400000000001,1,2,1,121
13013.0,219,1,4810.9400000000005,1,1,1,111
13014.0,110,10,3466.28,1,1,1,111
13015.0,175,53,3339.6400000000003,3,1,1,311
13016.0,47,73,789.8900000000001,3,2,2,322
13017.0,1,7,204.0,1,4,4,144
13018.0,458,16,7277.700000000001,1,1,1,111
13021.0,131,4,2616.38,1,1,1,111
13023.0,38,64,599.9,3,3,3,333
13026.0,40,1,975.3600000000001,1,3,2,132
13027.0,26,113,6912.0,3,3,1,331
13028.0,45,22,661.3199999999999,2,2,3,223
13029.0,10,30,1247.5,2,4,2,242
13030.0,92,11,752.44,1,2,2,122
13032.0,71,52,1010.1800000000001,3,2,2,322
13033.0,11,357,190.54999999999998,4,4,4,444
13034.0,37,54,642.77,3,3,3,333
13035.0,27,73,921.8800000000001,3,3,2,332
13037.0,48,138,881.0700000000002,3,2,2,322
13038.0,28,80,908.4600000000002,3,3,2,332
13040.0,43,8,676.99,1,2,2,122
13043.0,13,273,516.4200000000001,4,4,3,443
13044.0,33,291,560.47,4,3,3,433
13045.0,18,99,305.28000000000003,3,3,3,333
13046.0,35,30,629.31,2,3,3,233
13047.0,171,56,3232.59,3,1,1,311
13048.0,135,14,1819.41,1,1,1,111
13049.0,14,64,656.6800000000001,3,4,3,343
13050.0,402,14,5833.110000000001,1,1,1,111
13052.0,18,212,348.15,4,3,3,433
13055.0,76,78,1214.4100000000003,3,2,2,322
13058.0,8,24,271.4,2,4,4,244
13059.0,8,249,183.4,4,4,4,444
13060.0,15,253,307.53,4,4,3,443
13061.0,10,72,248.61,3,4,4,344
13062.0,11,191,346.9799999999999,4,4,3,443
13064.0,68,12,1105.5900000000001,1,2,2,122
13065.0,14,373,205.86,4,4,4,444
13066.0,48,24,470.80000000000007,2,2,3,223
13067.0,15,82,115.46000000000001,3,4,4,344
13068.0,2,10,344.0,1,4,3,143
13069.0,424,0,4431.4400000000005,1,1,1,111
13070.0,9,192,228.8,4,4,4,444
13072.0,7,266,177.15000000000003,4,4,4,444
13075.0,22,129,919.6099999999999,3,3,2,332
13077.0,111,1,728.0200000000001,1,1,2,112
13078.0,358,3,12627.939999999999,1,1,1,111
13079.0,6,4,220.10000000000005,1,4,4,144
13080.0,6,179,58.08,4,4,4,444
13081.0,1028,11,28337.379999999997,1,1,1,111
13082.0,73,126,3613.63,3,2,1,321
13083.0,18,4,303.75,1,3,4,134
13085.0,22,157,416.0799999999999,4,3,3,433
13089.0,1814,2,58762.08,1,1,1,111
13090.0,154,8,8895.82,1,1,1,111
13091.0,21,28,345.82,2,3,3,233
13092.0,25,70,477.83000000000004,3,3,3,333
13093.0,159,275,7832.470000000001,4,1,1,411
13094.0,24,21,1927.3200000000004,2,3,1,231
13095.0,6,70,74.4,3,4,4,344
13097.0,421,32,6003.220000000001,2,1,1,211
13098.0,572,1,28882.439999999995,1,1,1,111
13099.0,1,99,207.36,3,4,4,344
13101.0,8,234,101.19,4,4,4,444
13102.0,304,1,6424.09,1,1,1,111
13103.0,8,39,243.94,2,4,4,244
13104.0,20,3,1098.48,1,3,2,132
13106.0,1,133,76.5,3,4,4,344
13107.0,58,44,1531.62,2,2,2,222
13108.0,10,372,350.06,4,4,3,443
13109.0,47,59,786.5400000000001,3,2,2,322
13110.0,145,31,1488.67,2,1,2,212
13113.0,201,0,12245.960000000001,1,1,1,111
13115.0,120,11,2294.78,1,1,1,111
13116.0,30,138,501.14,3,3,3,333
13117.0,76,21,984.91,2,2,2,222
13118.0,79,19,1197.8100000000004,2,2,2,222
13120.0,1,238,30.6,4,4,4,444
13121.0,50,269,283.72999999999996,4,2,4,424
13122.0,55,94,922.3900000000002,3,2,2,322
13124.0,222,89,3756.33,3,1,1,311
13126.0,140,4,2099.6400000000003,1,1,1,111
13127.0,15,77,259.17,3,4,4,344
13130.0,2,94,64.0,3,4,4,344
13131.0,44,23,1073.3000000000002,2,2,2,222
13132.0,3,261,77.3,4,4,4,444
13133.0,7,273,109.8,4,4,4,444
13134.0,98,85,1793.5800000000004,3,2,1,321
